FSO_Att,RFL_Att,AbsoluteHumidity,AbsoluteHumidityMax,AbsoluteHumidityMin,Distance,Frequency,Particulate,ParticulateMax,ParticulateMin,RainIntensity,RainIntensityMax,RainIntensityMin,RelativeHumidity,SYNOPCode,Temperature,TemperatureDifference,TemperatureMax,TemperatureMin,Time,Visibility,VisibilityMax,VisibilityMin,WindDirection,WindSpeed,WindSpeedMax,WindSpeedMin
2.462846974,12.5944972227447,9.323876946,9.79461518534204,9.21956357303745,2012.233413,73500000000,0.0,0.0,0.0,0.0,0.0,0.0,89.4233731216623,0,11.65638215,-1.8,12.2993552271642,11.5800338724177,0,62342.65502,62365.9309631565,57591.7683723865,95.812499210465,2.368586097,3.040771643,2.16567591466974
2.223769046,11.3121223966059,3.879324861,4.21217228027767,3.66610441174975,2012.233896,83500000000,0.0,0.0,0.0,0.0,0.0,0.0,53.953513150599,0,5.856277723,-0.727,5.93775740616603,5.47037149809192,0,39233.91891,40261.1947364987,39164.2378300621,143.879077836049,2.012548056,2.273150961,1.84593792647828
2.045929951,11.6627372156567,5.808778117,6.14339354838873,5.41667440272936,2012.136018,73500000000,0.0,0.0,0.0,0.0,0.0,0.0,66.0404267479524,0,8.967754192,-0.6,9.09003288239428,8.28159908998394,1,30489.41499,31745.47026723,29332.6388917204,93.357958829195,0.54290857,1.189790164,0.512254358548895
2.310502774,12.4817845810109,9.137414045,9.98158991077875,8.87232878211892,2012.319275,73500000000,0.0,0.0,0.0,0.0,0.0,0.0,85.9129634456243,0,11.97393924,-0.2,12.7231864109142,10.9853659956515,1,68708.22615,68881.4363622116,63170.2727632193,130.043762362133,0.0,0.0,0.0
2.896595377,10.9584422174946,4.6308576,4.81097162297744,4.40484188713285,2012.260376,73500000000,0.0,0.0,0.0,0.0,0.0,0.0,73.2414200000864,0,3.912712394,-1.3,4.2035517927104,3.85862623048094,2,27775.95875,28453.7351655933,25643.3803115826,164.53950757669,0.621904647,2.154707444,0.560043303997277
10.01341993,11.5482182368171,5.234965287,5.37521967106087,4.9011318921356,2012.09664,83500000000,0.0,0.0,0.0,0.0,0.0,0.0,89.4422347441885,0,2.760298984,0.095,3.02574222055764,2.67082247055493,2,8705.699215,9240.94539862721,8192.42175506233,96.8909546321329,0.205780137,0.305083113,0.187293895131947
6.518552926,11.1576729181182,2.383383549,2.58334022313384,2.29889994939994,2012.374533,73500000000,0.0,0.0,0.0,0.0,0.0,0.0,26.4435180950627,0,9.349955175,0.75,9.7783474012674,8.72875662158006,3,75003.64693,77223.5507068631,67675.1685130157,93.0213856077524,3.963173243,4.339350831,3.78231995609186
3.416756594,11.7234107550856,5.660618473,5.68503461763528,5.40509663729723,2012.170385,83500000000,0.0,0.0,0.0,0.0,0.0,0.0,83.2248978184456,0,5.012585176,-0.572,5.35198736638515,4.87035200511384,3,5317.326638,5339.55239441495,4945.06245670384,76.4364051325593,2.120489161,2.325437218,2.03733958501051
13.71219506,11.5586305108451,4.164664132,4.18975707935566,3.82466049862887,2012.484278,83500000000,0.0,0.0,0.0,0.0,0.0,0.0,79.9016407888835,0,1.050684441,0.1,1.12568164651639,1.04617300794168,4,9725.99963,10012.4973809922,9528.31317569274,97.1239211353239,0.074128133,0.148063122,0.0714767972707341
2.768431466,11.1695853405709,5.49014747,5.57605087920341,4.98250429467877,2012.458907,73500000000,0.0,0.0,0.0,0.0,0.0,0.0,85.9549851689123,0,4.065033855,-0.135,4.32533215544774,3.90059288276084,4,9938.25965,10715.6225731943,9332.37755848733,94.1743582668346,0.031206743,0.048268369,0.0311311316958305
3.158569999,13.2528770156599,5.720818907,5.91053451780156,5.37245374401927,2012.141601,83500000000,0.0,0.0,0.0,0.0,0.0,0.0,96.7447734481349,0,2.912917356,-0.2,3.01986202507903,2.8676445202743,5,10962.13533,11059.6161721026,9952.60122933866,101.034477634476,0.039682499,0.345964964,0.0389349246886356
4.795370948,11.4139054227696,1.874530851,2.05570060168294,1.84630222224636,2012.311952,83500000000,0.0,0.0,0.0,0.0,0.0,0.0,23.3382255485344,0,7.555685081,-1.185,7.85039394190383,7.08779061093543,5,75004.12174,78325.4703425069,68687.2244195602,48.4152240359204,0.874376533,0.956325625,0.862930767757582
3.126227607,11.8344963180791,4.452435198,4.51691173891156,4.01325279250696,2012.181799,83500000000,0.0,0.0,0.0,0.0,0.0,0.0,71.1355935314864,0,3.761075206,0.2,3.92562503722339,3.70772938714997,6,35448.02206,38749.4162834162,33299.6023255384,66.249633865756,1.196557171,1.57396294,1.13678379032223
2.385799876,11.7007617256932,7.133661726,7.68492435642622,6.96051373213879,2012.214213,73500000000,0.0,0.0,0.0,0.0,0.0,0.0,86.6947556128897,0,7.929746371,-0.2,7.99657937708718,7.56262809693834,6,20648.74575,21219.5889075971,18585.0446437641,83.2896048899868,0.111184251,0.2810497,0.109099032265714
3.248227535,12.9341662045225,13.7554309,14.3493648041349,12.5227888602869,2012.408595,73500000000,0.0,0.0,0.0,0.0,0.0,0.0,70.7639617803742,0,22.02783318,1.62,22.5302038115606,20.4495227136781,7,14874.80145,14953.5321087343,14698.4438940149,63.3528782297198,0.0,1.488913269,0.0
2.533327088,13.3022782156366,12.06841134,13.1279958456319,11.6671567330199,2012.206734,83500000000,0.0,0.0,0.0,0.0,0.0,0.0,94.2141110048724,0,14.98985217,0.2,15.3711423662707,14.3745758789771,7,36157.51571,36169.7036085571,35308.9578770224,97.1212832292173,0.942505642,1.535654387,0.894510869269728
